pola;arti;文型;desc1;desc2;desc3;contohJP1;contohID1;contohJP2;contohID2;contohJP3;contohID3;第～週;～日目;Hari ke-;
～というのは;yang dimaksud... adalah;K. Benda というのは / K. Benda っていうのは;digunakan untuk menjelaskan makna atau definisi sebuah istilah;;;「デジカメ」というのは、デジタルカメラを短くした言い方です。;"dejikame" adalah kependekan dari "digital kamera";A：「電車で「カクテイ」っていうのは何のことですか。」;istilah "kakutei" dalam kereta itu maksudnya apa?;B：「各駅に停車する電車のことです。」;maksdunya kereta yang berhenti di setiap stasiun;2;4;10;
～というの/こと;bahwa... (membendakan kalimat);KALIMAT (biasa) というの / っていうの / ということ / っていうこと;membendakan kalimat untuk dijadikan subjek atau objek;;;田中さんが医者だというのを知らなかった。;saya tidak tahu bahwa rin-san adalah seorang dokter;こんなによく遅刻をするというのは問題です。;kamu sering terlambat seperti ini adalah sebuah masalah;リンさんが帰国するということを聞いて驚きました。;saya kaget mendengar bahwa rin-san akan pulang ke negaranya;2;4;10;
～というより;daripada..., bukan... tapi...;KK/KS/KB (biasa) というより / というか;digunakan untuk memperbaiki pernyataan dengan ungkapan yang lebih tepat;;;前の車は遅すぎて、走るというよりはっているようだ。;mobil depan lambat sekali, dari pada (disebut) berjalan, (lebih tepat disebut) merangkak;今日は涼しいというより寒いくらいだった。;hari ini (lebih tepat disebut) dingin daripada sejuk;あの学生はできないというか、やる気がないのでしょう。;siswa itu bukannya tidak bisa, tapi tidak punya semangat;2;5;11;
～というと;kalau ngomongin soal...;KK/KS/KB (biasa) というと / といえば / といったら;digunakan untuk memunculkan bayangan/impresi dari topik yang disebut;;;京都というと、お寺をイメージします。;kalau membahas tentang kyoto, saya membayangkan temple;日本の食べ物といえば、おすしがいちばん有名だと思います。;kalau membicarakan makanan Jepang, menurut saya sushi yang paling terkenal;夏の果物といったらやっぱりスイカだね。;kalau membicarakan buah musim panas, tentunya semangka!;2;5;11;
～といっても;meskipun dikatakan... tapi;KK/KS/KB (biasa) といっても;digunakan ketika kenyataannya tidak sesuai dengan apa yang dibayangkan;;;週末は旅行しました。旅行といっても、近くの温泉に行っただけですが。;weekend lalu saya berwisata. meskipun dikatakan wisata, tapi hanya pergi ke onsen terdekat;今週は忙しい、といっても先週ほどじゃない。;minggu ini saya sibuk. meskipun dikatakan sibuk, (tapi) tidak sesibuk minggu lalu;;2;5;11;
～てごらん;coba...;K. Kerja て ごらん (なさい);digunakan dari atasan ke bawahan, orang tua ke anak, guru ke murid;;;わからなかったら、先生に聞いてごらん。;kalau tidak tahu silahkan coba tanya ke sensei;もう一度やってごらんなさい。;coba lakukan sekali lagi;;2;6;12;
～ようにいう;bilang supaya...;K. Kerja るよう (に) 言う/頼む / K. Kerja ないよう (に) 言う/頼む;digunakan untuk menyampaikan perintah/permintaan secara tidak langsung;;;田中さんに、私の部屋に来るよう(に)言ってください。;tolong bilang ke tanaka-san supaya datang ke ruangan saya;妻に、家ではたばこを吸わないよう(に)言われています。;saya dibilang oleh istri supaya tidak merokok (kalau) di rumah;;2;6;12;
～てくれと言われる;dibilang supaya (tolong)...;K. Kerja てくれと 言われる/頼まれる / K. Kerja ないでくれと 言われる/頼まれる;menyatakan permintaan yang diterima dari orang lain (secara kasual);;;友達に、田中さんの電話番号を教えてくれと頼まれた。;saya diminta teman untuk memberitahu nomor telepon tanaka-san;大家に、玄関の前に自転車を置かないでくれと言われた。;saya dibilang oleh pemilik rumah (apartemen) agar tidak meletakkan sepeda di depan pintu;;2;6;12;
禁止/命令 ～と言われる;dibilang supaya (perintah/larangan);KK PERINTAH と / KK ～るなと 言われる/注意される/怒られる/しかられる;menyatakan perintah atau larangan yang diterima dari orang lain;;;医者に酒を飲むなと言われた。;saya dibilangin dokter untuk tidak minum;先生に、もっと勉強しろと言われた。;saya dibilang sensei agar belajar lebih giat lagi;父に、もっと早く帰れと注意された。;saya ditegur ayah supaya pulang lebih cepat;2;6;12;
～ても;meskipun, sekalipun;K. Kerja ～ても / K. Sifat -i ～くても / K. Sifat -na ～でも / K. Benda ～でも;menyatakan kondisi yang berlawanan dengan yang terjadi di kalimat selanjutnya;;;必要なので、高くても買います。;karena saya butuh, meskipun mahal (tetap) saya beli;調べてもわからなかったので、先生に聞いた。;meskipun sudah mencari tahu, saya tidak tahu, jadi saya tanya ke guru;お金がないので、半額でも買いません。;karena tidak ada uang, meskipun setengah harga, saya tidak akan beli;3;1;13;
KATA TANYA ～ても;se...pun, apapun;どんなに/いくら KB/KK/KS ～ても / どう/いつ/だれが/何を ～ても;digunakan bersama kata tanya untuk menyatakan "apapun kondisinya, hasilnya tetap sama";;;いくらお酒を飲んでも顔色が変わらない。;sebanyak apapun saya minum sake, warna wajah saya tidak berubah;私はどんなに暑くても寝るときはクーラーを消して寝ます。;sepanas apapun, ketika tidur saya mematikan AC;ギターを習い始めたが、どんなに練習しても全然うまくならない。;saya mulai belajar gitar, tapi segiat apapun saya latihan, tidak pandai-pandai;3;1;13;
～ずに;tanpa;K. Kerja ない → ずに / しない → せずに;ungkapan ini terkesan lebih kaku & formal dari pada ～ないで;;;辞書を使わずに書いたので、自信がありません。;karena saya menulis tanpa menggunakan kamus, saya tidak percaya diri;昨夜、歯をみがかずに寝てしまった。;semalam saya tertidur tanpa gosok gigi;傘を持たずに、出かけてしまった。;saya keluar tanpa membawa payung;3;1;13;
～として;sebagai;K. Benda として / としては / としても / としての KB;menyatakan peran, posisi, atau kapasitas seseorang/sesuatu;;;彼は歌手として有名だ。;dia terkenal sebagai penyanyi;彼は外国人だが、日本代表として試合に出る。;dia orang asing tapi tampil di pertandingan sebagai perwakilan negara Jepang;彼女は女性としても女優としても最高だが、妻としてはどうだろう。;baik sebagai perempuan maupun aktris, dia yang terbaik. tapi sebagai istri, bagaimana yah...;3;2;14;
～にしては;bagi..., buat...;K. Kerja (biasa) にしては / K. Benda (biasa) にしては ※それにしては (kata penghubung);untuk menyatakan kenyataan yang diluar ekspektasi;;;外国人にしては日本語が上手だ。;bagi dia (yang merupakan) orang asing, dia pandai berbahasa Jepang;初めてにしては、よくできました。;buat orang yang melakukan untuk pertama kali, (kamu) sudah melakukannya dengan baik;洗ったの? それにしてはきれいじゃないね。;ini sudah kamu cuci?! tapi, (buat pakaian yang sudah dicuci) agak kurang bersih;3;2;14;
～にしても;meskipun... (saya ngerti, tapi);K. Kerja (biasa) にしても / K. Sifat-i (biasa) にしても / K. Benda にしても ※それにしても (kata penghubung);digunakan ketika pembicara ngerti situasinya tapi tetap merasa ada yg mengganjal;;;これは、100円にしても、高いと思う。;ini meskipun 100 yen, tapi menurut saya mahal;遅れるとは聞いていたけど、それにしても田中さん、遅いね。;saya sudah tahu (dengar) dia akan terlambat, meskipun begitu, tanaka-san lama yah!;;3;2;14;
